State,County,Number_Primary_Care_Physicians,Population
Texas,,16815,25145561
Texas,Anderson,20,58458
Texas,Andrews,7,14786
Texas,Angelina,52,86771
Texas,Aransas,13,23158
Texas,Archer,,9054
Texas,Armstrong,0,1901
Texas,Atascosa,8,44911
Texas,Austin,6,28417
Texas,Bailey,3,7165
Texas,Bandera,6,20485
Texas,Bastrop,24,74171
Texas,Baylor,5,3726
Texas,Bee,7,31861
Texas,Bell,277,310235
Texas,Bexar,1405,1714773
Texas,Blanco,4,10497
Texas,Borden,0,641
Texas,Bosque,9,18212
Texas,Bowie,65,92565
Texas,Brazoria,225,313166
Texas,Brazos,189,194851
Texas,Brewster,6,9232
Texas,Briscoe,1,1637
Texas,Brooks,,7223
Texas,Brown,20,38106
Texas,Burleson,8,17187
Texas,Burnet,22,42750
Texas,Caldwell,12,38066
Texas,Calhoun,13,21381
Texas,Callahan,1,13544
Texas,Cameron,200,406220
Texas,Camp,9,12401
Texas,Carson,,6182
Texas,Cass,8,30464
Texas,Castro,1,8062
Texas,Chambers,4,35096
Texas,Cherokee,17,50845
Texas,Childress,9,7041
Texas,Clay,4,10752
Texas,Cochran,1,3127
Texas,Coke,,3320
Texas,Coleman,5,8895
Texas,Collin,887,782341
Texas,Collingsworth,,3057
Texas,Colorado,12,20874
Texas,Comal,95,108472
Texas,Comanche,6,13974
Texas,Concho,,4087
Texas,Cooke,13,38437
Texas,Coryell,18,75388
Texas,Cottle,0,1505
Texas,Crane,2,4375
Texas,Crockett,1,3719
Texas,Crosby,2,6059
Texas,Culberson,,2398
Texas,Dallam,5,6703
Texas,Dallas,1753,2368139
Texas,Dawson,4,13833
Texas,Deaf Smith,2,19372
Texas,Delta,1,5231
Texas,Denton,514,662614
Texas,DeWitt,11,20097
Texas,Dickens,1,2444
Texas,Dimmit,7,99996
Texas,Donley,1,3677
Texas,Duval,,11782
Texas,Eastland,6,18583
Texas,Ector,94,137130
Texas,Edwards,0,2002
Texas,Ellis,68,800647
Texas,El Paso,411,149610
Texas,Erath,25,37890
Texas,Falls,2,17866
Texas,Fannin,7,33915
Texas,Fayette,9,24554
Texas,Fisher,1,3974
Texas,Floyd,4,6446
Texas,Foard,0,1336
Texas,Fort Bend,627,585375
Texas,Franklin,3,10605
Texas,Freestone,6,19816
Texas,Frio,3,17217
Texas,Gaines,5,17526
Texas,Galveston,236,291309
Texas,Garza,1,6461
Texas,Gillespie,30,24837
Texas,Glasscock,0,1226
Texas,Goliad,,7210
Texas,Gonzales,8,19807
Texas,Gray,9,22535
Texas,Grayson,64,120877
Texas,Gregg,101,121730
Texas,Grimes,6,26604
Texas,Guadalupe,56,131533
Texas,Hale,10,36273
Texas,Hall,1,3353
Texas,Hamilton,8,8517
Texas,Hansford,2,5613
Texas,Hardeman,4,4139
Texas,Hardin,12,54635
Texas,Harris,2665,4092459
Texas,Harrison,18,65631
Texas,Hartley,,6062
Texas,Haskell,3,5899
Texas,Hays,86,157107
Texas,Hemphill,4,3807
Texas,Henderson,27,78532
Texas,Hidalgo,385,774769
Texas,Hill,11,53089
Texas,Hockley,13,22935
Texas,Hood,26,51182
Texas,Hopkins,10,35161
Texas,Houston,4,23732
Texas,Howard,12,35012
Texas,Hudspeth,,3476
Texas,Hunt,27,86129
Texas,Hutchinson,7,22150
Texas,Irion,0,1599
Texas,Jack,3,9044
Texas,Jackson,1,14075
Texas,Jasper,13,35710
Texas,Jeff Davis,1,2342
Texas,Jefferson,148,252273
Texas,Jim Hogg,,5300
Texas,Jim Wells,12,40838
Texas,Johnson,74,150934
Texas,Jones,5,20202
Texas,Karnes,4,14824
Texas,Kaufman,38,103350
Texas,Kendall,33,33410
Texas,Kenedy,0,416
Texas,Kent,0,808
Texas,Kerr,44,49625
Texas,Kimble,3,4607
Texas,King,0,286
Texas,Kinney,,3598
Texas,Kleberg,13,32061
Texas,Knox,1,3719
Texas,Lamar,25,6886
Texas,Lamb,3,49793
Texas,Lampasas,9,13977
Texas,La Salle,1,19677
Texas,Lavaca,13,19263
Texas,Lee,5,16612
Texas,Leon,,16801
Texas,Liberty,20,75643
Texas,Limestone,9,23384
Texas,Lipscomb,,3302
Texas,Live Oak,1,11531
Texas,Llano,15,19301
Texas,Loving,0,82
Texas,Lubbock,252,278831
Texas,Lynn,4,5915
Texas,McCulloch,5,13664
Texas,McLennan,185,10546
Texas,McMullen,0,4799
Texas,Madison,3,4012
Texas,Marion,1,36702
Texas,Martin,2,54258
Texas,Mason,,8283
Texas,Matagorda,14,234906
Texas,Maverick,15,707
Texas,Medina,12,46006
Texas,Menard,1,2242
Texas,Midland,59,136872
Texas,Milam,3,24757
Texas,Mills,1,4936
Texas,Mitchell,3,9403
Texas,Montague,6,19719
Texas,Montgomery,338,455746
Texas,Moore,9,21904
Texas,Morris,2,12934
Texas,Motley,0,1210
Texas,Nacogdoches,45,64524
Texas,Navarro,27,47735
Texas,Newton,,14445
Texas,Nolan,4,15216
Texas,Nueces,283,340223
Texas,Ochiltree,4,10223
Texas,Oldham,,2052
Texas,Orange,17,81836
Texas,Palo Pinto,15,28111
Texas,Panola,8,23796
Texas,Parker,59,116927
Texas,Parmer,2,10269
Texas,Pecos,7,15507
Texas,Polk,25,45413
Texas,Potter,97,121073
Texas,Presidio,3,7818
Texas,Rains,2,10914
Texas,Randall,75,120725
Texas,Reagan,2,3367
Texas,Real,1,3309
Texas,Red River,2,12860
Texas,Reeves,4,13782
Texas,Refugio,1,7383
Texas,Roberts,0,929
Texas,Robertson,1,16622
Texas,Rockwall,71,78337
Texas,Runnels,7,10501
Texas,Rusk,12,53330
Texas,Sabine,3,10834
Texas,San Augustine,2,8865
Texas,San Jacinto,3,26384
Texas,San Patricio,19,64804
Texas,San Saba,2,6131
Texas,Schleicher,1,3461
Texas,Scurry,8,16921
Texas,Shackelford,1,3378
Texas,Shelby,5,25448
Texas,Sherman,,3034
Texas,Smith,222,209714
Texas,Somervell,8,8490
Texas,Starr,12,60968
Texas,Stephens,2,9630
Texas,Sterling,0,1143
Texas,Stonewall,1,1490
Texas,Sutton,3,4128
Texas,Swisher,1,7854
Texas,Tarrant,1142,1809034
Texas,Taylor,94,131506
Texas,Terrell,0,948
Texas,Terry,4,12651
Texas,Throckmorton,1,1641
Texas,Titus,18,32334
Texas,Tom Green,82,110224
Texas,Travis,1024,1024266
Texas,Trinity,2,14585
Texas,Tyler,3,21766
Texas,Upshur,10,39309
Texas,Upton,2,3355
Texas,Uvalde,12,26405
Texas,Val Verde,14,48879
Texas,Van Zandt,10,52579
Texas,Victoria,75,86793
Texas,Walker,23,67861
Texas,Waller,6,43205
Texas,Ward,3,10658
Texas,Washington,22,33718
Texas,Webb,93,250304
Texas,Wharton,17,41280
Texas,Wheeler,2,5410
Texas,Wichita,102,131500
Texas,Wilbarger,7,13535
Texas,Willacy,8,22134
Texas,Williamson,351,422679
Texas,Wilson,21,42918
Texas,Winkler,2,7110
Texas,Wise,31,59127
Texas,Wood,22,41964
Texas,Yoakum,3,7879
Texas,Young,12,18550
Texas,Zapata,1,14018
Texas,Zavala,2,11677